"Timestamp","Age","Gender","What kind of Locality do you live in?","Education level - Either Studying or Completed","Family Income per year(in Rupees)","How likely are you to use home remedies for the following health issue/ symptom :  [Sore throat / Cough]","How likely are you to use home remedies for the following health issue/ symptom :  [Running Nose]","How likely are you to use home remedies for the following health issue/ symptom :  [Diarrhoea]","How likely are you to use home remedies for the following health issue/ symptom :  [Back/Joint pain]","How likely are you to use home remedies for the following health issue/ symptom :  [Constipation]","How likely are you to use home remedies for the following health issue/ symptom :  [Headache]","How likely are you to use home remedies for the following health issue/ symptom :  [Wounds / minor cuts and bruises]","How likely are you to use home remedies for the following health issue/ symptom :  [Sleeping problems / nervousness]","Have you ever used any of the following home remedies?","Do you prefer using Home remedies?"
"2020/10/19 10:57:16 PM GMT+5:30","51","Male","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:57:33 PM GMT+5:30","19","Female","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Never","Never","Once in a while","Once in a while","Once in a while","Never","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:57:34 PM GMT+5:30","47","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:57:40 PM GMT+5:30","38","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Once in a while","Once in a while","Kadha / Herbal Teas;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 10:58:18 PM GMT+5:30","Fifty ","Female","Urban","Graduate","Prefer not to say","Always","Always","Once in a while","Most of the time","Most of the time","Once in a while","Always","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 10:58:30 PM GMT+5:30","39","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Never","Once in a while","Never","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 10:59:18 PM GMT+5:30","42","Male","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Never","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 11:00:00 PM GMT+5:30","40","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Once in a while","Once in a while","Never","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:00:03 PM GMT+5:30","43","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Once in a while","Never","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 11:00:33 PM GMT+5:30","29","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 11:01:27 PM GMT+5:30","45","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 11:01:49 PM GMT+5:30","50","Female","Urban","Graduate","Above 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:02:50 PM GMT+5:30","18","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Never","Never","Never","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 11:02:56 PM GMT+5:30","Yes","Female","Rural","Graduate","less than 1 Lakh","Never","Never","Never","Never","Never","Never","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 11:02:58 PM GMT+5:30","43","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Once in a while","Most of the time","Never","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 11:03:25 PM GMT+5:30","45","Female","Urban","Post Graduate","Above 25 lakh","Always","Always","Never","Never","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:03:37 PM GMT+5:30","48","Male","Urban","Post Graduate","less than 1 Lakh","Always","Most of the time","Once in a while","Once in a while","Most of the time","Never","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 11:04:11 PM GMT+5:30","40","Female","Urban","Post Graduate","Prefer not to say","Once in a while","Most of the time","Never","Once in a while","Once in a while","Once in a while","Never","Most of the time","Using Hot water steam","Yes"
"2020/10/19 11:04:50 PM GMT+5:30","48","Male","Urban","Post Graduate","less than 1 Lakh","Always","Most of the time","Once in a while","Once in a while","Most of the time","Never","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 11:04:51 PM GMT+5:30","69","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:05:10 PM GMT+5:30","53","Male","Urban","Basic schooling","Prefer not to say","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:05:34 PM GMT+5:30","51","Female","Rural","Graduate","1 lakh to 25 lakh","Always","Always","Once in a while","Once in a while","Always","Always","Always","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:08:03 PM GMT+5:30","27","Male","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Once in a while","Once in a while","Once in a while","Most of the time","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 11:08:07 PM GMT+5:30","45","Female","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Once in a while","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:08:53 PM GMT+5:30","19","Female","Urban","Graduate","Prefer not to say","Never","Never","Never","Never","Most of the time","Once in a while","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:09:45 PM GMT+5:30","18","Female","Urban","Graduate","Prefer not to say","Once in a while","Never","Once in a while","Once in a while","Once in a while","Most of the time","Always","Always","Never used any home remedies;Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 11:09:57 PM GMT+5:30","20","Female","Urban","Graduate","Prefer not to say","Always","Always","Always","Never","Always","Once in a while","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:10:02 PM GMT+5:30","40","Female","Urban","Graduate","Prefer not to say","Always","Always","Once in a while","Once in a while","Always","Always","Always","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 11:10:07 PM GMT+5:30","45","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Always","Never","Once in a while","Never","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 11:10:36 PM GMT+5:30","23","Female","Rural","Post Graduate","Prefer not to say","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:11:10 PM GMT+5:30","36","Male","Urban","Graduate","Above 25 lakh","Always","Always","Never","Always","Always","Once in a while","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:11:36 PM GMT+5:30","36","Male","Rural","Post Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Once in a while","Most of the time","Most of the time","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:12:09 PM GMT+5:30","18","Female","Urban","High School","Prefer not to say","Always","Always","Once in a while","Always","Once in a while","Most of the time","Never","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 11:12:25 PM GMT+5:30","27","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:14:09 PM GMT+5:30","48","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:14:13 PM GMT+5:30","28","Male","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 11:15:18 PM GMT+5:30","40","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Never","Most of the time","Never","Once in a while","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation","Yes"
"2020/10/19 11:15:26 PM GMT+5:30","49","Female","Urban","Post Graduate","1 lakh to 25 lakh","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 11:15:27 PM GMT+5:30","33","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:15:31 PM GMT+5:30","49","Male","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:15:41 PM GMT+5:30","49","Female","Urban","High School","1 lakh to 25 lakh","Most of the time","Most of the time","Never","Once in a while","Never","Once in a while","Always","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 11:15:51 PM GMT+5:30","39","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Most of the time","Always","Once in a while","Never","Once in a while","Always","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 11:15:57 PM GMT+5:30","49","Male","Urban","Post Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 11:16:17 PM GMT+5:30","50","Male","Urban","High School","1 lakh to 25 lakh","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Other Home Remedies","Yes"
"2020/10/19 11:16:26 PM GMT+5:30","45","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation","Yes"
"2020/10/19 11:16:53 PM GMT+5:30","24","Female","Urban","Post Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Once in a while","Most of the time","Once in a while","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 11:17:44 PM GMT+5:30","21","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Never","Once in a while","Never","Once in a while","Never","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 11:18:01 PM GMT+5:30","42","Female","Urban","Post Graduate","Above 25 lakh","Most of the time","Always","Never","Once in a while","Always","Always","Always","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:18:04 PM GMT+5:30","19","Female","Urban","Graduate","Above 25 lakh","Most of the time","Most of the time","Once in a while","Always","Once in a while","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 11:18:42 PM GMT+5:30","19","Female","Urban","High School","Prefer not to say","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Apply Turmeric/ Haldi on wounds and acne / pimple;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 11:19:12 PM GMT+5:30","50","Female","Urban","High School","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:19:29 PM GMT+5:30","48","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation","Yes"
"2020/10/19 11:19:29 PM GMT+5:30","43","Female","Urban","Post Graduate","Prefer not to say","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:19:49 PM GMT+5:30","29","Female","Urban","Graduate","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation","Yes"
"2020/10/19 11:21:46 PM GMT+5:30","37","Female","Urban","Graduate","less than 1 Lakh","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair","Yes"
"2020/10/19 11:22:04 PM GMT+5:30","18","Female","Urban","High School","1 lakh to 25 lakh","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Most of the time","Never used any home remedies;Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 11:22:37 PM GMT+5:30","20","Male","Rural","High School","less than 1 Lakh","Once in a while","Once in a while","Never","Never","Never","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Other Home Remedies","Yes"
"2020/10/19 11:22:56 PM GMT+5:30","53","Male","Urban","Post Graduate","Prefer not to say","Once in a while","Once in a while","Never","Most of the time","Most of the time","Most of the time","Once in a while","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 11:23:19 PM GMT+5:30","66 years ","Male","Urban","Graduate","1 lakh to 25 lakh","Once in a while","Once in a while","Once in a while","Never","Once in a while","Most of the time","Most of the time","Never","Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 11:23:27 PM GMT+5:30","43","Female","Urban","Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Most of the time","Most of the time","Most of the time","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:23:45 PM GMT+5:30","17","Female","Urban","High School","Prefer not to say","Never","Never","Never","Most of the time","Never","Once in a while","Never","Once in a while","Drink Haldi/Turmeric milk","No"
"2020/10/19 11:23:54 PM GMT+5:30","38","Female","Rural","Post Graduate","Prefer not to say","Once in a while","Never","Never","Once in a while","Never","Never","Once in a while","Never","Never used any home remedies;Kadha / Herbal Teas;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Other Home Remedies","Yes"
"2020/10/19 11:24:54 PM GMT+5:30","24","Female","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Always","Always","Always","Always","Always","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:25:18 PM GMT+5:30","19","Male","Urban","Graduate","Prefer not to say","Once in a while","Always","Once in a while","Never","Never","Never","Always","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:25:35 PM GMT+5:30","47","Female","Urban","Graduate","1 lakh to 25 lakh","Never","Never","Never","Never","Once in a while","Never","Most of the time","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:26:07 PM GMT+5:30","47","Female","Urban","Graduate","Prefer not to say","Once in a while","Once in a while","Most of the time","Never","Once in a while","Never","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 11:26:28 PM GMT+5:30","35","Female","Urban","Graduate","1 lakh to 25 lakh","Always","Most of the time","Once in a while","Never","Once in a while","Once in a while","Once in a while","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:26:38 PM GMT+5:30","43","Male","Urban","Post Graduate","Above 25 lakh","Always","Once in a while","Once in a while","Most of the time","Most of the time","Most of the time","Always","Once in a while","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
"2020/10/19 11:26:54 PM GMT+5:30","40","Female","Urban","Post Graduate","Prefer not to say","Most of the time","Most of the time","Once in a while","Never","Most of the time","Never","Most of the time","Once in a while","Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam","Yes"
"2020/10/19 11:27:33 PM GMT+5:30","43","Female","Urban","Graduate","1 lakh to 25 lakh","Always","Always","Never","Never","Most of the time","Most of the time","Never","Most of the time","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Other Home Remedies","Yes"
"2020/10/19 11:27:55 PM GMT+5:30","25","Male","Urban","Post Graduate","Above 25 lakh","Most of the time","Most of the time","Most of the time","Once in a while","Always","Always","Once in a while","Always","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat","Yes"
"2020/10/19 11:27:59 PM GMT+5:30","38","Male","Urban","Graduate","Above 25 lakh","Most of the time","Most of the time","Once in a while","Never","Once in a while","Never","Most of the time","Never","Kadha / Herbal Teas;Apply Turmeric/ Haldi on wounds and acne / pimple;Drink Haldi/Turmeric milk;Using Hot water steam;Gargling for Sore throat;Aloe Vera / Onion Juice / Egg for Hair;Fennel seeds for Constipation;Other Home Remedies","Yes"
